,slice_index,sam_dice,sam_precision,sam_recall,sam_HD100,sam_AVG_dist,medsam_dice,medsam_precision,medsam_recall,medsam_HD100,medsam_AVG_dist
BraTS2021_00064,77,0.634057583217382,0.9853626081170991,0.4674136026510967,27.294688127912362,4.6580792511730715,0.7381081081081081,0.9085163007318696,0.6215293582157487,25.942243542145693,2.429136097782956
BraTS2021_00066,119,0.35589941972920697,0.9292929292929293,0.22009569377990432,15.033296378372908,3.784439533088057,0.5025380710659898,1.0,0.33559322033898303,11.180339887498949,2.348641552154084
BraTS2021_00068,64,0.6359865180191859,0.9979658258746948,0.4667047184170472,21.93171219946131,4.954153889409828,0.7052427184466019,0.7388120423108218,0.674591381872214,18.027756377319946,3.298040214643558
BraTS2021_00070,111,0.9379951774026869,0.9659453706988294,0.9116170070304653,21.400934559032695,1.6411098759767118,0.9620207159731056,0.9389854558354026,0.986214605067064,3.1622776601683795,0.44544469251280183
BraTS2021_00071,104,0.04405286343612335,0.03968253968253968,0.04950495049504951,13.152946437965905,4.795643395569647,0.05194805194805195,0.09523809523809523,0.03571428571428571,13.038404810405298,5.836462363516579
BraTS2021_00072,92,0.48695652173913045,0.5577689243027888,0.43209876543209874,10.0,2.124967741873993,0.3760129659643436,0.9243027888446215,0.23601220752797558,17.69180601295413,2.808178023157598
BraTS2021_00074,64,0.43196098658914,0.9995659722222222,0.2755114248115803,48.76474136094644,8.775755357268574,0.3789924267369114,0.4995659722222222,0.3053050397877984,43.60045871318328,12.217055853206299
BraTS2021_00077,56,0.3330249768732655,0.967741935483871,0.2011173184357542,21.213203435596427,5.624206913421854,0.7211155378486056,0.9731182795698925,0.5727848101265823,11.0,1.5453810458377997
BraTS2021_00078,113,0.6735665493686608,0.9987722529158993,0.5081199250468457,37.12142238654117,5.5455708290392085,0.8473239436619718,0.9232658072437078,0.7829255596043727,14.866068747318506,1.8522688182800284
BraTS2021_00081,49,0.34837799717912554,0.9427480916030534,0.21366782006920415,18.384776310850235,3.3782347140556634,0.36787564766839376,0.8129770992366412,0.23772321428571427,17.0,3.8277472796261423
BraTS2021_00084,93,0.9381011097410604,0.9606060606060606,0.9166265060240963,15.231546211727817,0.6492421888354729,0.9438489025012762,0.9338383838383838,0.9540763673890609,6.324555320336759,0.5702764543379673
BraTS2021_00085,115,0.8325301204819278,0.9677871148459384,0.7304439746300211,21.37755832643195,2.389604065936118,0.815347721822542,0.7142857142857143,0.9497206703910615,9.848857801796104,1.5273280376562384
BraTS2021_00087,75,0.6068179061021473,0.9968114786767637,0.43617021276595747,26.92582403567252,5.8501511528643935,0.7471800855698172,0.7656436827421284,0.7295860235472844,16.55294535724685,2.607080950104947
BraTS2021_00088,88,0.830142063001853,0.9933481152993349,0.7129973474801061,19.1049731745428,2.955790127365709,0.9208606856309264,0.9331116038433112,0.9089272858171347,9.433981132056603,1.0781227068333896
BraTS2021_00089,100,0.7768924302788844,1.0,0.6351791530944625,6.708203932499369,1.3269933934710625,0.8541905855338691,0.9538461538461539,0.7733887733887734,4.0,0.7978721255940467
BraTS2021_00090,79,0.8575026232948584,0.9673295454545454,0.7700716170373162,7.615773105863909,1.0449896665881626,0.8701232032854209,0.8025568181818182,0.9501121076233184,15.524174696260024,1.3748967945250696
BraTS2021_00094,53,0.6574450772986168,0.7385740402193784,0.592375366568915,28.844410203711913,4.099901774790839,0.6,0.9104204753199269,0.4474393530997305,8.54400374531753,1.2804360853078074
BraTS2021_00095,78,0.8122904156593621,0.9931350114416476,0.6871618947090645,29.966648127543394,4.720303009725685,0.6491499227202473,0.4805491990846682,1.0,25.0,6.333561536457976
BraTS2021_00096,95,0.8756476683937824,0.7878787878787878,0.9854227405247813,15.264337522473747,1.1401388043561758,0.8950345694531741,0.8298368298368298,0.9713506139154161,4.123105625617661,0.6797369881041889
BraTS2021_00097,75,0.6054490413723511,0.7389162561576355,0.5128205128205128,9.0,2.0844405530496717,0.6838709677419355,0.6527093596059114,0.7181571815718157,7.810249675906654,1.363876842919253
BraTS2021_00098,57,0.6563075506445673,0.9916521739130435,0.4904524341992087,20.0,4.529809353209391,0.7159248518471819,0.9874782608695652,0.5615110759493671,17.72004514666935,3.4999008107910274
BraTS2021_00099,119,0.395128552097429,0.6160337552742616,0.2908366533864542,15.620499351813308,3.799117343827025,0.6415094339622641,0.5738396624472574,0.7272727272727273,7.211102550927978,1.788369236783101
